"Tweet Id","Is Retweet","Is Reply","Tweet Time","Tweet Day","Tweet Month","Tweet Text","Tweet Source","Tweet Retweet Count","Tweet Favorite Count"
926647019455766528,No,No,"2017-11-04 03:07:20",Saturday,November,"Thank you for such a beautiful welcome Hawaii. My great honor to visit @PacificCommand upon arrival. Heading to Pea… https://t.co/Yr6OZitxGR","Twitter for iPad",13152,68422
926580912036466690,No,No,"2017-11-03 22:44:39",Friday,November,"Getting ready to land in Hawaii. Looking so much forward to meeting with our great Military/Veterans at Pearl Harbor!","Twitter for iPhone",13163,89508
926492915626663939,No,No,"2017-11-03 16:54:59",Friday,November,"The decision on Sergeant Bergdahl is a complete and total disgrace to our Country and to our Military.","Twitter for iPhone",37588,138465
926484660946862085,No,No,"2017-11-03 16:22:11",Friday,November,"JOBS, JOBS, JOBS! https://t.co/twUNktGbnb","Twitter for iPhone",16249,67890
926481563214376961,No,No,"2017-11-03 16:09:52",Friday,November,"The rigged Dem Primary, one of the biggest political stories in years, got ZERO coverage on Fake News Network TV last night. Disgraceful!","Twitter for iPhone",26198,95045
926460439000698880,No,No,"2017-11-03 14:45:56",Friday,November,"Just took off for ceremony @ Pearl Harbor. Will then be heading to Japan, SKorea, China, Vietnam &amp;amp; the Philippines. Will never let you down!","Twitter for iPhone",14118,74952
926456409260285952,No,No,"2017-11-03 14:29:55",Friday,November,"I always felt I would be running and winning against Bernie Sanders, not Crooked H, without cheating, I was right.","Twitter for iPhone",17113,83068
926456069047582721,No,No,"2017-11-03 14:28:34",Friday,November,"Bernie Sanders supporters have every right to be apoplectic of the complete theft of the Dem primary by Crooked Hillary!","Twitter for iPhone",16585,78095
926421589159182339,No,No,"2017-11-03 12:11:33",Friday,November,"...Based on that, the Military has hit ISIS &quot;much harder&quot; over the last two days. They will pay a big price for every attack on us!","Twitter for iPhone",15413,71188
926419647708258304,No,No,"2017-11-03 12:03:50",Friday,November,"ISIS just claimed the Degenerate Animal who killed, and so badly wounded, the wonderful people on the West Side, was &quot;their soldier.&quot; .....","Twitter for iPhone",14803,58289
926417546038923264,No,No,"2017-11-03 11:55:29",Friday,November,"Pocahontas just stated that the Democrats, lead by the legendary Crooked Hillary Clinton, rigged the Primaries! Lets go FBI &amp;amp; Justice Dept.","Twitter for iPhone",29291,104070
926415703476928512,No,No,"2017-11-03 11:48:10",Friday,November,"The real story on Collusion is in Donna B's new book. Crooked Hillary bought the DNC &amp;amp; then stole the Democratic Primary from Crazy Bernie!","Twitter for iPhone",19119,76834
926406490763784194,No,No,"2017-11-03 11:11:33",Friday,November,"....People are angry.  At some point the Justice Department, and the FBI, must do what is right and proper. The American public deserves it!","Twitter for iPhone",30914,132012
926404584456773632,No,No,"2017-11-03 11:03:59",Friday,November,"...New Donna B book says she paid for and stole the Dem Primary. What about the deleted E-mails, Uranium, Podesta, the Server, plus, plus...","Twitter for iPhone",18221,72583
926403023861141504,No,No,"2017-11-03 10:57:47",Friday,November,"Everybody is asking why the Justice Department (and FBI) isn't looking into all of the dishonesty going on with Crooked Hillary &amp;amp; the Dems..","Twitter for iPhone",23040,87759
926401530013642765,No,No,"2017-11-03 10:51:51",Friday,November,"My Twitter account was taken down for 11 minutes by a rogue employee. I guess the word must finally be getting out-and having an impact.","Twitter for iPhone",27723,108933
926260114146889728,No,No,"2017-11-03 01:29:54",Friday,November,"I will be interviewed by @IngrahamAngle on @FoxNews at 10:00. Enjoy!","Twitter for iPhone",7431,41879
926259330474704900,No,No,"2017-11-03 01:26:48",Friday,November,"The @TuckerCarlson opening statement about our once cherished and great FBI was so sad to watch. James Comey's leadership was a disaster!","Twitter for iPhone",17252,64791
926249604936556545,No,No,"2017-11-03 00:48:09",Friday,November,"....This is real collusion and dishonesty. Major violation of Campaign Finance Laws and Money Laundering - where is our Justice Department?","Twitter for iPhone",25526,91777
926247543801044993,No,No,"2017-11-03 00:39:57",Friday,November,"Donna Brazile just stated the DNC RIGGED the system to illegally steal the Primary from Bernie Sanders. Bought and paid for by Crooked H....","Twitter for iPhone",24556,83472
926238774773862400,No,No,"2017-11-03 00:05:07",Friday,November,"Great Tax Cut rollout today. The lobbyists are storming Capital Hill, but the Republicans will hold strong and do what is right for America!","Twitter for iPhone",13371,64703
926216279287042048,No,No,"2017-11-02 22:35:43",Thursday,November,"Today, it was my pleasure and great honor to announce my nomination of Jerome Powell to be the next Chairman of the… https://t.co/32kLFYbbuq","Twitter for iPhone",9463,43409
926185468911382529,No,No,"2017-11-02 20:33:18",Thursday,November,"Broadcom's move to America=$20 BILLION of annual rev into U.S.A., $3+ BILLION/yr. in research/engineering &amp;amp; $6 BILL… https://t.co/0PUrl6k86K","Twitter for iPad",14122,55914
926176823117074433,No,No,"2017-11-02 19:58:56",Thursday,November,"Today, we are thrilled to welcome @Broadcom CEO Hock Tan to the WH to announce he is moving their HQ’s from Singapo… https://t.co/iSUzEbrn0c","Twitter for iPad",10662,46728
926157911151214592,No,No,"2017-11-02 18:43:47",Thursday,November,"Congress must end chain migration so that we can have a system that is SECURITY BASED! We need to make AMERICA SAFE… https://t.co/nxEDGfXlV9","Twitter for iPhone",13683,54920
926155393490878464,No,No,"2017-11-02 18:33:47",Thursday,November,"I am calling on Congress to TERMINATE the diversity visa lottery program that presents significant vulnerabilities… https://t.co/GcHKCxTNyF","Twitter for iPhone",18216,74740
926139726129704960,No,No,"2017-11-02 17:31:32",Thursday,November,"Congratulations to the Houston @Astros, 2017 #WorldSeries Champions⚾️#HoustonStrong #EarnHistory https://t.co/BP7OEzdhFi","Twitter for iPad",11545,55885
926054936718307328,No,No,"2017-11-02 11:54:36",Thursday,November,"...There is also something appropriate about keeping him in the home of the horrible crime he committed. Should move fast. DEATH PENALTY!","Twitter for iPhone",17439,85307
926053970535243777,No,No,"2017-11-02 11:50:46",Thursday,November,"Would love to send the NYC terrorist to Guantanamo but statistically that process takes much longer than going through the Federal system...","Twitter for iPhone",14041,70592
